订单号,商品1,商品2,商品3,商品4,商品5
TXN01149,牛奶,面包,水果,茶叶,
TXN01150,水果,薯片,咖啡,面包,
TXN01151,面包,水果,鸡蛋,,
TXN01152,水果,面包,,,
TXN01153,可乐,面包,坚果,肉类,
TXN01154,鸡蛋,茶叶,面包,,
TXN01155,啤酒,尿布,牛奶,面包,巧克力
TXN01156,肉类,尿布,坚果,,
TXN01157,牛奶,面包,尿布,坚果,鸡蛋
TXN01158,巧克力,牛奶,,,
TXN01159,牛奶,面包,坚果,肉类,尿布
TXN01160,薯片,坚果,咖啡,饼干,
TXN01161,茶叶,鸡蛋,肉类,坚果,巧克力
TXN01162,啤酒,尿布,牛奶,面包,可乐
TXN01163,茶叶,坚果,面包,咖啡,水果
TXN01164,咖啡,水果,饼干,茶叶,可乐
TXN01165,巧克力,面包,啤酒,水果,
TXN01166,茶叶,啤酒,蔬菜,,
TXN01167,蔬菜,饼干,肉类,,
TXN01168,水果,饼干,啤酒,牛奶,
TXN01169,薯片,坚果,咖啡,水果,
TXN01170,肉类,咖啡,,,
TXN01171,尿布,面包,水果,,
TXN01172,牛奶,面包,蔬菜,肉类,可乐
TXN01173,薯片,饼干,,,
TXN01174,坚果,蔬菜,面包,,
TXN01175,牛奶,面包,啤酒,肉类,可乐
TXN01176,巧克力,尿布,蔬菜,啤酒,
TXN01177,牛奶,面包,肉类,蔬菜,薯片
TXN01178,啤酒,尿布,牛奶,面包,巧克力
TXN01179,肉类,面包,茶叶,薯片,啤酒
TXN01180,牛奶,肉类,薯片,,
TXN01181,茶叶,啤酒,肉类,薯片,
TXN01182,饼干,茶叶,,,
TXN01183,饼干,坚果,咖啡,水果,茶叶
TXN01184,牛奶,面包,肉类,咖啡,巧克力
TXN01185,茶叶,牛奶,,,
TXN01186,啤酒,尿布,肉类,坚果,牛奶
TXN01187,饼干,茶叶,面包,巧克力,
TXN01188,咖啡,饼干,,,
TXN01189,牛奶,面包,坚果,尿布,
TXN01190,牛奶,面包,水果,可乐,巧克力
TXN01191,鸡蛋,可乐,坚果,尿布,
TXN01192,啤酒,尿布,牛奶,咖啡,蔬菜
TXN01193,面包,水果,,,
TXN01194,啤酒,尿布,鸡蛋,薯片,
TXN01195,肉类,尿布,啤酒,牛奶,
TXN01196,肉类,可乐,茶叶,水果,蔬菜
TXN01197,牛奶,面包,蔬菜,茶叶,巧克力
TXN01198,尿布,茶叶,,,
TXN01199,茶叶,饼干,,,
TXN01200,尿布,可乐,蔬菜,,
TXN01201,巧克力,水果,面包,茶叶,
TXN01202,面包,水果,,,
TXN01203,鸡蛋,啤酒,面包,,
TXN01204,巧克力,薯片,面包,水果,茶叶
TXN01205,啤酒,尿布,坚果,巧克力,
TXN01206,啤酒,茶叶,饼干,尿布,
TXN01207,啤酒,尿布,坚果,可乐,茶叶
TXN01208,牛奶,面包,啤酒,可乐,鸡蛋
TXN01209,啤酒,面包,巧克力,,
TXN01210,面包,蔬菜,,,
TXN01211,牛奶,可乐,坚果,,
TXN01212,肉类,蔬菜,啤酒,牛奶,咖啡
TXN01213,肉类,尿布,,,
TXN01214,茶叶,饼干,肉类,啤酒,薯片
TXN01215,牛奶,面包,薯片,茶叶,可乐
TXN01216,肉类,薯片,,,
TXN01217,啤酒,尿布,咖啡,鸡蛋,可乐
TXN01218,巧克力,坚果,薯片,茶叶,
TXN01219,牛奶,面包,水果,鸡蛋,可乐
TXN01220,牛奶,水果,面包,尿布,
TXN01221,牛奶,面包,鸡蛋,茶叶,啤酒
TXN01222,牛奶,面包,蔬菜,啤酒,薯片
TXN01223,坚果,肉类,鸡蛋,水果,
TXN01224,薯片,牛奶,饼干,咖啡,肉类
TXN01225,茶叶,啤酒,薯片,尿布,咖啡
TXN01226,咖啡,坚果,饼干,茶叶,
TXN01227,蔬菜,可乐,尿布,坚果,
TXN01228,牛奶,面包,茶叶,巧克力,可乐
TXN01229,可乐,尿布,水果,,
TXN01230,薯片,茶叶,坚果,啤酒,饼干
TXN01231,啤酒,尿布,坚果,肉类,巧克力
TXN01232,牛奶,面包,鸡蛋,,
TXN01233,饼干,鸡蛋,,,
TXN01234,牛奶,面包,咖啡,啤酒,蔬菜
TXN01235,蔬菜,巧克力,,,
TXN01236,鸡蛋,巧克力,肉类,,
TXN01237,蔬菜,鸡蛋,可乐,巧克力,薯片
TXN01238,咖啡,饼干,,,
TXN01239,牛奶,面包,茶叶,啤酒,鸡蛋
TXN01240,啤酒,肉类,巧克力,蔬菜,
TXN01241,鸡蛋,饼干,水果,蔬菜,
TXN01242,可乐,面包,茶叶,,
TXN01243,蔬菜,可乐,咖啡,尿布,
TXN01244,咖啡,蔬菜,薯片,饼干,
TXN01245,饼干,咖啡,啤酒,,
TXN01246,肉类,咖啡,坚果,鸡蛋,
TXN01247,鸡蛋,巧克力,坚果,,
TXN01248,鸡蛋,啤酒,,,
TXN01249,饼干,可乐,面包,,
TXN01250,啤酒,尿布,咖啡,牛奶,茶叶
TXN01251,薯片,肉类,坚果,面包,咖啡
TXN01252,面包,牛奶,,,
TXN01253,水果,咖啡,蔬菜,,
TXN01254,肉类,坚果,薯片,蔬菜,
TXN01255,饼干,茶叶,可乐,,
TXN01256,啤酒,蔬菜,坚果,,
TXN01257,巧克力,肉类,饼干,,
TXN01258,水果,啤酒,蔬菜,可乐,茶叶
TXN01259,面包,牛奶,巧克力,鸡蛋,
TXN01260,面包,尿布,啤酒,,
TXN01261,坚果,蔬菜,肉类,可乐,薯片
TXN01262,啤酒,尿布,牛奶,面包,坚果
TXN01263,啤酒,尿布,牛奶,水果,蔬菜
TXN01264,牛奶,面包,啤酒,肉类,蔬菜
TXN01265,牛奶,面包,饼干,坚果,啤酒
TXN01266,啤酒,尿布,面包,咖啡,巧克力
TXN01267,肉类,咖啡,饼干,,
TXN01268,水果,鸡蛋,,,
TXN01269,蔬菜,牛奶,,,
TXN01270,面包,巧克力,鸡蛋,坚果,水果
TXN01271,薯片,鸡蛋,啤酒,蔬菜,
TXN01272,牛奶,面包,茶叶,鸡蛋,啤酒
TXN01273,啤酒,尿布,薯片,面包,饼干
TXN01274,啤酒,尿布,牛奶,水果,
TXN01275,啤酒,尿布,巧克力,牛奶,蔬菜
TXN01276,面包,啤酒,牛奶,茶叶,
TXN01277,饼干,肉类,薯片,水果,坚果
TXN01278,牛奶,蔬菜,薯片,巧克力,
TXN01279,尿布,蔬菜,,,
TXN01280,可乐,坚果,蔬菜,,
TXN01281,鸡蛋,水果,可乐,薯片,面包
TXN01282,牛奶,尿布,茶叶,,
TXN01283,茶叶,肉类,薯片,牛奶,
TXN01284,鸡蛋,面包,饼干,可乐,尿布
TXN01285,牛奶,面包,巧克力,蔬菜,尿布
TXN01286,饼干,尿布,牛奶,坚果,水果
TXN01287,蔬菜,水果,咖啡,茶叶,薯片
TXN01288,牛奶,面包,茶叶,,
TXN01289,饼干,肉类,鸡蛋,可乐,尿布
TXN01290,肉类,蔬菜,饼干,,
TXN01291,牛奶,面包,饼干,坚果,
TXN01292,坚果,巧克力,面包,,
TXN01293,坚果,尿布,啤酒,,
TXN01294,啤酒,尿布,牛奶,面包,饼干
TXN01295,可乐,薯片,面包,,
TXN01296,可乐,茶叶,蔬菜,鸡蛋,
TXN01297,茶叶,牛奶,坚果,,
TXN01298,饼干,啤酒,薯片,,
TXN01299,可乐,饼干,鸡蛋,面包,
TXN01300,水果,茶叶,,,
TXN01301,茶叶,蔬菜,面包,薯片,
TXN01302,啤酒,尿布,薯片,茶叶,可乐
TXN01303,坚果,巧克力,,,
TXN01304,牛奶,面包,可乐,肉类,蔬菜
TXN01305,牛奶,面包,啤酒,尿布,
TXN01306,巧克力,肉类,可乐,,
TXN01307,可乐,咖啡,水果,尿布,
TXN01308,巧克力,咖啡,茶叶,饼干,牛奶
TXN01309,牛奶,面包,坚果,饼干,尿布
TXN01310,啤酒,尿布,牛奶,面包,巧克力
TXN01311,咖啡,蔬菜,面包,坚果,
TXN01312,啤酒,尿布,坚果,可乐,
TXN01313,啤酒,尿布,水果,咖啡,饼干
TXN01314,坚果,饼干,咖啡,巧克力,
TXN01315,尿布,薯片,水果,可乐,
TXN01316,茶叶,水果,咖啡,饼干,
TXN01317,水果,薯片,啤酒,肉类,面包
TXN01318,鸡蛋,可乐,啤酒,咖啡,尿布
TXN01319,鸡蛋,啤酒,咖啡,,
TXN01320,啤酒,尿布,面包,薯片,蔬菜
TXN01321,啤酒,巧克力,,,
TXN01322,尿布,咖啡,,,
TXN01323,牛奶,面包,可乐,饼干,茶叶
TXN01324,面包,咖啡,饼干,肉类,
TXN01325,薯片,可乐,水果,蔬菜,
TXN01326,可乐,肉类,,,
TXN01327,肉类,可乐,饼干,坚果,茶叶
TXN01328,巧克力,饼干,咖啡,可乐,
TXN01329,牛奶,面包,可乐,水果,薯片
TXN01330,巧克力,肉类,鸡蛋,蔬菜,
TXN01331,坚果,鸡蛋,面包,饼干,
TXN01332,水果,鸡蛋,蔬菜,坚果,咖啡
TXN01333,尿布,咖啡,坚果,鸡蛋,
TXN01334,咖啡,牛奶,可乐,蔬菜,
TXN01335,茶叶,肉类,啤酒,巧克力,水果
TXN01336,牛奶,可乐,,,
TXN01337,巧克力,可乐,啤酒,蔬菜,牛奶
TXN01338,啤酒,尿布,牛奶,面包,
TXN01339,啤酒,尿布,蔬菜,巧克力,
TXN01340,面包,坚果,,,
TXN01341,可乐,薯片,,,
TXN01342,牛奶,面包,水果,饼干,薯片
TXN01343,蔬菜,可乐,面包,,
TXN01344,蔬菜,饼干,尿布,薯片,巧克力
TXN01345,面包,饼干,蔬菜,水果,
TXN01346,肉类,啤酒,,,
TXN01347,坚果,蔬菜,可乐,啤酒,肉类
TXN01348,啤酒,尿布,咖啡,坚果,水果
TXN01349,薯片,肉类,可乐,,
TXN01350,茶叶,巧克力,,,
TXN01351,巧克力,可乐,蔬菜,尿布,
TXN01352,蔬菜,啤酒,可乐,,
TXN01353,鸡蛋,可乐,水果,薯片,
TXN01354,啤酒,尿布,可乐,饼干,蔬菜
TXN01355,鸡蛋,肉类,,,
TXN01356,巧克力,面包,蔬菜,牛奶,肉类
TXN01357,巧克力,牛奶,啤酒,,
TXN01358,面包,鸡蛋,坚果,,
TXN01359,蔬菜,牛奶,,,
TXN01360,鸡蛋,巧克力,尿布,咖啡,茶叶
TXN01361,面包,可乐,,,
TXN01362,蔬菜,啤酒,肉类,,
TXN01363,牛奶,面包,啤酒,咖啡,鸡蛋
TXN01364,尿布,牛奶,,,
TXN01365,啤酒,尿布,薯片,巧克力,蔬菜
TXN01366,坚果,鸡蛋,牛奶,巧克力,
TXN01367,茶叶,薯片,牛奶,,
TXN01368,咖啡,巧克力,啤酒,,
TXN01369,牛奶,鸡蛋,尿布,茶叶,坚果
TXN01370,牛奶,面包,蔬菜,,
TXN01371,啤酒,肉类,薯片,,
TXN01372,茶叶,巧克力,饼干,,
TXN01373,可乐,薯片,巧克力,尿布,饼干
TXN01374,薯片,饼干,啤酒,坚果,咖啡
TXN01375,饼干,面包,鸡蛋,可乐,
TXN01376,蔬菜,啤酒,茶叶,,
TXN01377,啤酒,尿布,蔬菜,鸡蛋,
TXN01378,啤酒,尿布,面包,薯片,牛奶
TXN01379,啤酒,尿布,巧克力,坚果,肉类
TXN01380,饼干,蔬菜,咖啡,,
TXN01381,水果,鸡蛋,尿布,饼干,
TXN01382,巧克力,鸡蛋,,,
TXN01383,啤酒,饼干,,,
TXN01384,鸡蛋,饼干,,,
TXN01385,薯片,饼干,肉类,面包,
TXN01386,牛奶,面包,茶叶,咖啡,
TXN01387,鸡蛋,牛奶,咖啡,,
TXN01388,蔬菜,面包,牛奶,茶叶,
TXN01389,可乐,尿布,啤酒,,
TXN01390,巧克力,鸡蛋,咖啡,,
TXN01391,蔬菜,面包,尿布,鸡蛋,咖啡
TXN01392,肉类,牛奶,,,
TXN01393,可乐,咖啡,水果,啤酒,薯片
TXN01394,牛奶,面包,坚果,水果,薯片
TXN01395,啤酒,尿布,水果,茶叶,
TXN01396,蔬菜,牛奶,,,
TXN01397,肉类,鸡蛋,薯片,,
TXN01398,坚果,饼干,薯片,尿布,可乐
TXN01399,鸡蛋,水果,肉类,尿布,饼干
TXN01400,茶叶,可乐,肉类,啤酒,
TXN01401,薯片,肉类,茶叶,巧克力,可乐
TXN01402,薯片,尿布,,,
TXN01403,面包,饼干,薯片,巧克力,
TXN01404,巧克力,水果,,,
TXN01405,可乐,蔬菜,肉类,坚果,薯片
TXN01406,薯片,茶叶,可乐,牛奶,咖啡
TXN01407,咖啡,啤酒,饼干,,
TXN01408,啤酒,尿布,牛奶,面包,咖啡
TXN01409,牛奶,面包,鸡蛋,坚果,薯片
TXN01410,饼干,蔬菜,肉类,薯片,
TXN01411,啤酒,饼干,可乐,,
TXN01412,牛奶,面包,鸡蛋,可乐,尿布
TXN01413,牛奶,水果,面包,啤酒,饼干
TXN01414,面包,牛奶,蔬菜,,
TXN01415,尿布,肉类,啤酒,,
TXN01416,牛奶,面包,咖啡,肉类,
TXN01417,坚果,鸡蛋,水果,尿布,牛奶
TXN01418,啤酒,蔬菜,牛奶,水果,
TXN01419,啤酒,尿布,茶叶,饼干,可乐
TXN01420,水果,鸡蛋,尿布,茶叶,可乐
TXN01421,咖啡,水果,啤酒,可乐,
TXN01422,啤酒,水果,可乐,巧克力,
TXN01423,坚果,咖啡,牛奶,水果,
TXN01424,茶叶,肉类,可乐,鸡蛋,
TXN01425,可乐,蔬菜,茶叶,鸡蛋,啤酒
TXN01426,饼干,咖啡,鸡蛋,坚果,
TXN01427,啤酒,尿布,坚果,水果,咖啡
TXN01428,饼干,鸡蛋,啤酒,肉类,
TXN01429,牛奶,面包,坚果,可乐,巧克力
TXN01430,啤酒,尿布,牛奶,面包,蔬菜
TXN01431,巧克力,水果,可乐,鸡蛋,坚果
TXN01432,蔬菜,鸡蛋,尿布,茶叶,坚果
TXN01433,茶叶,啤酒,,,
TXN01434,面包,水果,可乐,蔬菜,
TXN01435,啤酒,尿布,肉类,,
TXN01436,咖啡,肉类,啤酒,,
TXN01437,面包,可乐,,,
TXN01438,可乐,蔬菜,面包,鸡蛋,肉类
TXN01439,饼干,蔬菜,茶叶,啤酒,肉类
TXN01440,面包,茶叶,,,
TXN01441,面包,可乐,,,
TXN01442,鸡蛋,牛奶,巧克力,肉类,
TXN01443,鸡蛋,啤酒,面包,巧克力,
TXN01444,肉类,面包,尿布,,
TXN01445,牛奶,面包,鸡蛋,饼干,
TXN01446,饼干,鸡蛋,牛奶,面包,巧克力
TXN01447,面包,肉类,茶叶,,
TXN01448,啤酒,尿布,牛奶,面包,坚果
TXN01449,肉类,蔬菜,,,
TXN01450,饼干,可乐,,,
TXN01451,巧克力,茶叶,鸡蛋,,
TXN01452,尿布,啤酒,茶叶,,
TXN01453,面包,薯片,坚果,巧克力,尿布
TXN01454,啤酒,尿布,面包,饼干,
TXN01455,牛奶,鸡蛋,饼干,巧克力,水果
TXN01456,牛奶,坚果,蔬菜,啤酒,
TXN01457,巧克力,坚果,,,
TXN01458,牛奶,面包,肉类,咖啡,蔬菜
TXN01459,啤酒,尿布,面包,可乐,肉类
TXN01460,牛奶,面包,鸡蛋,尿布,咖啡
TXN01461,鸡蛋,咖啡,饼干,可乐,
TXN01462,牛奶,面包,坚果,鸡蛋,
TXN01463,饼干,蔬菜,薯片,咖啡,尿布
TXN01464,鸡蛋,可乐,饼干,,
TXN01465,可乐,饼干,,,
TXN01466,坚果,饼干,茶叶,咖啡,水果
TXN01467,牛奶,面包,鸡蛋,薯片,
TXN01468,巧克力,尿布,茶叶,鸡蛋,可乐
TXN01469,啤酒,尿布,鸡蛋,牛奶,蔬菜
TXN01470,啤酒,尿布,肉类,牛奶,
TXN01471,啤酒,尿布,面包,蔬菜,水果
TXN01472,牛奶,面包,饼干,薯片,茶叶
TXN01473,鸡蛋,水果,尿布,可乐,
TXN01474,茶叶,饼干,水果,,
TXN01475,牛奶,咖啡,坚果,水果,肉类
TXN01476,可乐,尿布,肉类,巧克力,牛奶
TXN01477,薯片,咖啡,牛奶,面包,
TXN01478,饼干,肉类,蔬菜,,
TXN01479,牛奶,面包,水果,鸡蛋,蔬菜
TXN01480,牛奶,面包,鸡蛋,薯片,
TXN01481,巧克力,啤酒,,,
TXN01482,牛奶,面包,巧克力,可乐,水果
TXN01483,啤酒,尿布,薯片,牛奶,
TXN01484,面包,坚果,肉类,饼干,
TXN01485,牛奶,面包,茶叶,咖啡,巧克力
TXN01486,茶叶,巧克力,饼干,蔬菜,
TXN01487,啤酒,肉类,巧克力,面包,鸡蛋
TXN01488,啤酒,尿布,巧克力,牛奶,饼干
TXN01489,水果,肉类,面包,啤酒,
TXN01490,啤酒,尿布,蔬菜,牛奶,
TXN01491,巧克力,薯片,咖啡,可乐,
TXN01492,牛奶,面包,饼干,可乐,蔬菜
TXN01493,牛奶,面包,饼干,,
TXN01494,啤酒,尿布,饼干,可乐,
TXN01495,巧克力,饼干,茶叶,牛奶,鸡蛋
TXN01496,尿布,咖啡,,,
TXN01497,饼干,水果,鸡蛋,坚果,
TXN01498,咖啡,鸡蛋,牛奶,,
TXN01499,水果,尿布,坚果,,
TXN01500,薯片,咖啡,水果,,
